task_id,arima_nmae,arima_da,arima_mae,ets_nmae,ets_da,ets_mae,llama_nmae,llama_da,llama_mae,horizon,gpt4o_nmae,gpt4o_da,gpt4o_mae,mistral_nmae,mistral_da,mistral_mae,domain,best_baseline_nmae,best_baseline_model,best_baseline_da,llama_improvement_nmae,mistral_improvement_nmae,gpt4o_improvement_nmae,llama_improvement_da,mistral_improvement_da,gpt4o_improvement_da,llama_beats_baseline,mistral_beats_baseline,gpt4o_beats_baseline,best_model,best_nmae
task_000,1.8300746250342184,0.2238805970149253,27.47843392215558,2.800582091211399,0.2238805970149253,42.05053110087563,6.773812458581842,0.2238805970149253,101.70828855721392,67,6.789264413518887,0.2238805970149253,101.94029850746269,1.727634194831014,0.0,25.94029850746269,SolarPowerProduction,1.8300746250342184,ARIMA,0.2238805970149253,-4.943737833547624,0.10244043020320426,-4.959189788484668,0.0,-0.2238805970149253,0.0,0,1,0,MISTRAL,1.727634194831014
task_001,2.9621515657321216,0.9375,489.44926261901855,5.235555315800155,0.046875,865.0937103841661,5.918993065405831,0.046875,978.0211197916668,64,1.071678486997636,0.84375,177.078125,3.455981087470449,0.0,571.046875,SolarPowerProduction,2.9621515657321216,ARIMA,0.9375,-2.95684149967371,-0.4938295217383275,1.8904730787344857,-0.890625,-0.9375,-0.09375,0,0,1,GPT4O,1.071678486997636
task_002,1.2967749139918654,1.0,255.34308540821075,1.843993014597624,1.0,363.0937495306134,3.226079669893668,0.0,635.23525,64,2.9713537533724805,0.796875,585.078125,3.164418346294239,0.0,623.09375,SolarPowerProduction,1.2967749139918654,ARIMA,1.0,-1.9293047559018026,-1.8676434323023736,-1.6745788393806151,-1.0,-1.0,-0.203125,0,0,0,ARIMA,1.2967749139918654
task_003,1.7223088923556942,0.0,311.38461538461536,3.435936069605508,0.2051282051282051,621.1996211997035,2.5030571550134733,0.1923076923076923,452.53989743589744,78,5.660970075166643,0.2307692307692307,1023.474358974359,1.7223088923556942,0.0,311.38461538461536,SolarPowerProduction,1.7223088923556942,ARIMA,0.2051282051282051,-0.7807482626577791,0.0,-3.9386611828109492,-0.012820512820512803,-0.2051282051282051,0.025641025641025605,0,0,0,ARIMA,1.7223088923556942
task_004,9.506156106741471,0.0410958904109589,1068.3356808179046,9.80229155527839,0.0410958904109589,1101.6164372534784,7.622945676905575,0.0410958904109589,856.6937853881279,73,9.188200877620671,0.0410958904109589,1032.6027397260275,7.499634324719649,0.0,842.8356164383562,SolarPowerProduction,9.506156106741471,ARIMA,0.0410958904109589,1.8832104298358967,2.0065217820218226,0.3179552291208001,0.0,-0.0410958904109589,0.0,1,1,1,MISTRAL,7.499634324719649
task_005,2.835758080622423,0.8648648648648649,315.99542071368245,6.246229703876441,0.1351351351351351,696.032569434664,3.848873756973077,0.1216216216216216,428.8893648648648,74,7.223866116905167,0.1351351351351351,804.972972972973,3.776376424933301,0.0,420.8108108108109,SolarPowerProduction,2.835758080622423,ARIMA,0.8648648648648649,-1.0131156763506537,-0.9406183443108778,-4.388108036282743,-0.7432432432432433,-0.8648648648648649,-0.7297297297297298,0,0,0,ARIMA,2.835758080622423
task_006,3.019973161466939,0.0,863.9010725021362,2.6600482503066902,0.0,760.9400526033576,1.642292822809701,0.984126984126984,469.798390625,64,1.7806969630762508,0.0,509.390625,1.6532663316582914,0.0,472.9375,SolarPowerProduction,2.6600482503066902,ETS,0.0,1.0177554274969893,1.0067819186483988,0.8793512872304394,0.984126984126984,0.0,0.0,1,1,1,LLAMA,1.642292822809701
task_007,2.5880356531896496,0.1095890410958904,593.7946459626498,3.925070170522861,0.1095890410958904,900.5616477546218,2.36066513423687,0.1095890410958904,541.6271278538813,73,4.264971043047346,0.1095890410958904,978.5479452054794,2.33345274344737,0.0,535.3835616438356,SolarPowerProduction,2.5880356531896496,ARIMA,0.1095890410958904,0.2273705189527795,0.2545829097422794,-1.6769353898576966,0.0,-0.1095890410958904,0.0,1,1,0,MISTRAL,2.33345274344737
task_008,10.21279822685244,0.0147058823529411,498.7750428143669,9.534266637218222,0.0147058823529411,465.6367573853193,5.885208973200844,0.0147058823529411,287.4232205882353,68,9.28906955736224,0.0147058823529411,453.6617647058824,5.82204155374887,0.0,284.3382352941176,SolarPowerProduction,9.534266637218222,ETS,0.0147058823529411,3.649057664017378,3.7122250834693515,0.24519707985598238,0.0,-0.0147058823529411,0.0,1,1,1,MISTRAL,5.82204155374887
task_009,2.389015410774525,0.1447368421052631,176.7557059840152,3.958608064729313,0.1578947368421052,292.88490984174905,2.563490011263264,0.1578947368421052,189.6645307017544,76,9.51218210919438,0.1578947368421052,703.7763157894736,2.200782500444602,0.0,162.82894736842104,SolarPowerProduction,2.389015410774525,ARIMA,0.1578947368421052,-0.17447460048873875,0.18823291032992318,-7.123166698419856,0.0,-0.1578947368421052,0.0,0,1,0,MISTRAL,2.200782500444602
task_000,0.2404374703424569,0.9565217391304348,1.8984541929123164,2.7524540821641845,0.0869565217391304,21.73291869042137,0.4442058047493404,0.9130434782608696,3.507375,24,0.8254071661237784,0.875,5.279166666666666,0.9074918566775244,0.0,5.804166666666667,DecreaseInTraffic,0.2404374703424569,ARIMA,0.9565217391304348,-0.2037683344068835,-0.6670543863350675,-0.5849696957813215,-0.04347826086956519,-0.9565217391304348,-0.08152173913043481,0,0,0,ARIMA,0.2404374703424569
task_001,0.5980883248528306,0.75,1.5968958273570577,0.742189750339559,0.25,1.9816466334066225,1.1064462650853102,0.2083333333333333,2.954211527777778,24,0.5136790958064859,0.6666666666666666,4.0525,0.5421992183373827,0.0,4.277500000000001,DecreaseInTraffic,0.5980883248528306,ARIMA,0.75,-0.5083579402324796,0.05588910651544787,0.08440922904634474,-0.5416666666666667,-0.75,-0.08333333333333337,0,1,1,GPT4O,0.5136790958064859
task_002,0.5269968955558324,1.0,2.393883398062369,0.9471463164346065,0.0,4.3024121424042,0.7945050755213109,0.9166666666666666,3.609039305555555,24,0.7760236803157374,0.5833333333333334,2.6216666666666666,0.8352244696595954,0.0,2.8216666666666668,DecreaseInTraffic,0.5269968955558324,ARIMA,1.0,-0.2675081799654785,-0.308227574103763,-0.24902678475990503,-0.08333333333333337,-1.0,-0.41666666666666663,0,0,0,ARIMA,0.5269968955558324
task_003,0.4330351734324467,0.5833333333333334,3.356022594101462,0.4368102282666969,0.4166666666666667,3.3852792690669014,0.6224577598566308,0.4166666666666667,4.824047638888889,24,1.9667154352596927,0.7083333333333334,11.202083333333334,0.5625457205559621,0.0,3.204166666666667,DecreaseInTraffic,0.4330351734324467,ARIMA,0.5833333333333334,-0.18942258642418408,-0.1295105471235154,-1.533680261827246,-0.16666666666666669,-0.5833333333333334,0.125,0,0,0,ARIMA,0.4330351734324467
task_004,0.7526905562904915,0.6666666666666666,0.5532275588735113,0.6692330135811261,0.6666666666666666,0.4918862649821277,1.111483560090703,0.6666666666666666,0.8169404166666666,24,0.7755192222713213,0.5454545454545454,1.4625,0.4759169244365885,0.0,0.8975,DecreaseInTraffic,0.6692330135811261,ETS,0.6666666666666666,-0.44225054650957685,0.19331608914453757,-0.10628620869019523,0.0,-0.6666666666666666,-0.12121212121212122,0,1,0,MISTRAL,0.4759169244365885
task_005,0.3192765624757858,0.7916666666666666,1.75921385924158,0.5760312611304881,0.7916666666666666,3.1739322488289896,0.4628971062714256,0.7916666666666666,2.550563055555556,24,0.860036832412523,0.9583333333333334,2.724166666666666,1.2099447513812154,0.0,3.8325,DecreaseInTraffic,0.3192765624757858,ARIMA,0.7916666666666666,-0.14362054379563982,-0.8906681889054295,-0.5407602699367373,0.0,-0.7916666666666666,0.16666666666666674,0,0,0,ARIMA,0.3192765624757858
task_006,0.3427355283894494,0.9583333333333334,1.8653381132595783,0.5128078705755548,0.9583333333333334,2.790956835607457,0.7619308171285664,0.9583333333333334,4.146808472222222,24,0.2687288048504778,0.8333333333333334,2.1791666666666667,0.5827766930428527,0.0,4.725833333333333,DecreaseInTraffic,0.3427355283894494,ARIMA,0.9583333333333334,-0.419195288739117,-0.24004116465340336,0.07400672353897159,0.0,-0.9583333333333334,-0.125,0,0,1,GPT4O,0.2687288048504778
task_007,0.6715725871862865,0.5416666666666666,3.6858142160074014,0.6709486892229138,0.6666666666666666,3.6823900560184257,0.5705198400647838,0.6666666666666666,3.1312030555555554,24,0.6031567080045096,0.9130434782608696,0.8916666666666666,0.6910935738444193,0.0,1.0216666666666665,DecreaseInTraffic,0.6709486892229138,ETS,0.6666666666666666,0.10042884915813,-0.020144884621505432,0.06779198121840424,0.0,-0.6666666666666666,0.246376811594203,1,0,1,LLAMA,0.5705198400647838
task_008,0.4820449898578084,0.9166666666666666,2.321850034481777,0.9145004616343666,0.0833333333333333,4.404843890205532,0.6757683679354094,0.9166666666666666,3.254950972222222,24,0.3941422594142258,0.9545454545454546,1.9625,0.7523012552301253,0.0,3.745833333333332,DecreaseInTraffic,0.4820449898578084,ARIMA,0.9166666666666666,-0.19372337807760098,-0.27025626537231684,0.0879027304435826,0.0,-0.9166666666666666,0.037878787878787956,0,0,1,GPT4O,0.3941422594142258
task_009,0.517821022970247,0.782608695652174,2.172259191360186,0.5598811309076884,0.782608695652174,2.3487013441577527,0.5733719374917231,0.782608695652174,2.405295277777778,24,0.6036390459798379,0.6956521739130435,2.045833333333334,0.4875829850012294,0.0,1.6525,DecreaseInTraffic,0.517821022970247,ARIMA,0.782608695652174,-0.05555091452147609,0.03023803796901764,-0.08581802300959085,0.0,-0.782608695652174,-0.08695652173913049,0,1,0,MISTRAL,0.4875829850012294
task_000,0.9880456777511262,0.78125,0.2869550776941865,0.9968329151341726,0.78125,0.2895071281132609,1.4380789086925183,0.40625,0.4176568495431205,32,0.4009444083455865,0.78125,0.116445055566386,1.2425418551436411,0.0,0.36086762242872,FullCausalContextExplicitEquationBivarLinSVAR,0.9880456777511262,ARIMA,0.78125,-0.45003323094139214,-0.25449617739251496,0.5871012694055397,-0.375,-0.78125,0.0,0,0,1,GPT4O,0.4009444083455865
task_001,0.3616123384271765,0.96875,0.1337061301227753,0.3647931633771787,0.96875,0.1348822398664654,170.0840846184126,0.78125,62.88857523146258,32,0.8638099741559887,0.03125,0.3193936614779287,0.7186315162053515,0.0,0.2657139395021783,FullCausalContextExplicitEquationBivarLinSVAR,0.3616123384271765,ARIMA,0.96875,-169.72247227998542,-0.357019177778175,-0.5021976357288123,-0.1875,-0.96875,-0.9375,0,0,0,ARIMA,0.3616123384271765
task_002,0.853742016396195,0.09375,0.4367636018110753,0.8517923855688003,0.125,0.4357661953744456,176.82221928294385,0.875,90.460007696759,32,0.8458107837933289,0.75,0.4327060836710503,0.8492104828566743,0.0,0.4344453266501512,FullCausalContextExplicitEquationBivarLinSVAR,0.8517923855688003,ETS,0.125,-175.97042689737503,0.002581902712125994,0.005981601775471468,0.75,-0.125,0.625,0,1,1,GPT4O,0.8458107837933289
task_003,0.7416361237558239,0.0625,0.3406235804199244,0.7280875786953913,0.0,0.3344009143709812,0.7306736285003304,0.0,0.3355886525561732,32,0.7284852031347264,0.0,0.3345835379728399,0.7133001799908059,0.0,0.3276092593659033,FullCausalContextExplicitEquationBivarLinSVAR,0.7280875786953913,ETS,0.0625,-0.002586049804939039,0.014787398704585453,-0.00039762443933510916,-0.0625,-0.0625,-0.0625,0,1,0,MISTRAL,0.7133001799908059
task_004,0.3036474634975605,0.9375,0.1635792637917468,0.3048039345949362,0.9375,0.1642022714353021,330.2763528644597,0.9375,177.92463018491696,32,0.349494748590544,0.9375,0.1882778568772144,0.510318368526666,0.0,0.2749158582174953,FullCausalContextExplicitEquationBivarLinSVAR,0.3036474634975605,ARIMA,0.9375,-329.9727054009621,-0.2066709050291055,-0.045847285092983525,0.0,-0.9375,0.0,0,0,0,ARIMA,0.3036474634975605
task_005,0.974817412034549,0.65625,0.3072020014762512,0.9848648543413124,0.65625,0.3103683322662531,1.2860354422329028,0.65625,0.4052786264853276,32,0.9699905328504526,0.5625,0.3056808684641278,1.096258787428949,0.0,0.345472792624026,FullCausalContextExplicitEquationBivarLinSVAR,0.974817412034549,ARIMA,0.65625,-0.3112180301983538,-0.12144137539440014,0.004826879184096411,0.0,-0.65625,-0.09375,0,0,1,GPT4O,0.9699905328504526
task_006,0.2400996413985746,0.59375,0.3804734029409652,0.5312085297999862,0.59375,0.8417785042367321,0.2007068937334407,0.40625,0.3180497663705641,32,0.1928596862222516,0.40625,0.3056147051269302,0.1563106982677445,0.0,0.247697426533351,FullCausalContextExplicitEquationBivarLinSVAR,0.2400996413985746,ARIMA,0.59375,0.0393927476651339,0.0837889431308301,0.047239955176322984,-0.1875,-0.59375,-0.1875,1,1,1,MISTRAL,0.1563106982677445
task_007,0.9994849705143336,0.53125,0.1721108556677176,0.9992428275463344,0.46875,0.172069158759164,0.996601733904116,0.53125,0.1716143636396067,32,0.8951626922309117,0.78125,0.1541466069693847,0.998175156358977,0.0,0.1718853062680823,FullCausalContextExplicitEquationBivarLinSVAR,0.9992428275463344,ETS,0.53125,0.0026410936422184284,0.0010676711873573996,0.1040801353154227,0.0,-0.53125,0.25,1,1,1,GPT4O,0.8951626922309117
